0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/logo.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:47 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/logo.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:50 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 5980
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:59:31 -0300] "GET /Vendas/javax.faces.resource/logo.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 5981
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/logo.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:09 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 6006
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:45 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:46 -0300] "GET /Vendas/javax.faces.resource/logo.png.xhtml?ln=images HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:01:46 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:02:23 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
